Country Name,Country Code,Indicator Name,Indicator Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Latitude,Longitude
Aruba,ABW,Consommation d’énergies renouvelables (% de la consommation totale d’énergie),EG.FEC.RNEW.ZS,0.27,0.23,0.24,0.2,0.18,0.17,0.17,0.16,0.16,0.16,0.18,0.18,0.18,0.18,0.19,0.19,0.19,0.19,0.19,0.3,5.46,5.66,6.86,6.89,6.93,6.73,6.99,6.7,8.31,8.18,8.67,12.52111,-69.968338
Afghanistan,AFG,Consommation d’énergies renouvelables (% de la consommation totale d’énergie),EG.FEC.RNEW.ZS,23.0,23.69,27.38,28.5,30.14,31.8,33.89,36.42,38.02,43.44,44.99,45.6,37.83,36.66,44.24,33.88,31.89,28.78,21.17,16.53,15.15,12.61,15.36,16.86,18.93,17.53,19.92,19.21,17.96,18.51,17.58,33.93911,67.709953
Angola,AGO,Consommation d’énergies renouvelables (% de la consommation totale d’énergie),EG.FEC.RNEW.ZS,72.26,71.89,72.72,71.28,72.22,73.76,72.76,73.16,76.11,72.42,73.44,72.34,70.42,65.14,61.92,68.38,62.13,58.49,54.88,52.41,52.51,51.06,49.47,47.95,48.27,47.84,49.03,56.25,55.94,54.39,61.02,-11.202692,17.873887
Albanie,ALB,Consommation d’énergies renouvelables (% de la consommation totale d’énergie),EG.FEC.RNEW.ZS,25.5,32.98,46.78,51.12,51.43,50.58,51.6,55.93,49.94,42.63,41.36,39.04,35.82,33.67,35.84,36.77,31.62,32.0,35.79,37.09,36.99,35.84,39.91,41.14,38.56,38.49,39.44,36.94,37.83,40.11,44.58,41.153332,20.168331
Andorre,AND,Consommation d’énergies renouvelables (% de la consommation totale d’énergie),EG.FEC.RNEW.ZS,14.05,14.05,14.08,13.72,14.36,14.28,13.89,13.98,14.23,14.32,14.51,15.39,15.83,16.52,16.57,16.61,17.57,16.56,17.02,17.13,18.67,18.55,18.76,19.14,19.45,19.32,19.3,19.02,18.58,18.46,21.86,42.546245,1.601554
Émirats arabes unis,ARE,Consommation d’énergies renouvelables (% de la consommation totale d’énergie),EG.FEC.RNEW.ZS,0.0,0.0,0.19,0.15,0.12,0.11,0.08,0.08,0.07,0.07,0.08,0.06,0.07,0.07,0.1,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.14,0.13,0.12,0.19,0.32,0.67,0.92,23.424076,53.847818
Argentine,ARG,Consommation d’énergies renouvelables (% de la consommation totale d’énergie),EG.FEC.RNEW.ZS,8.57,8.42,9.01,9.68,9.97,10.18,8.64,9.72,9.62,8.79,9.85,11.51,11.62,10.82,9.29,9.64,9.18,7.72,7.65,8.59,8.79,8.83,8.61,8.91,9.79,9.4,9.38,10.37,10.52,10.74,9.84,-38.416097,-63.616672
Arménie,ARM,Consommation d’énergies renouvelables (% de la consommation totale d’énergie),EG.FEC.RNEW.ZS,2.12,2.31,6.68,12.93,17.76,9.27,12.47,10.12,9.38,8.36,7.16,5.42,8.9,9.81,8.71,6.49,7.65,7.02,6.4,7.8,9.36,8.01,6.56,6.77,7.08,10.74,13.15,12.56,11.13,10.34,8.38,40.069099,45.038189
Samoa américaines,ASM,Consommation d’énergies renouvelables (% de la consommation totale d’énergie),EG.FEC.RNEW.ZS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.24,0.23,0.23,0.3,0.49,0.49,0.5,0.51,-14.270972,-170.132217
Antigua-et-Barbuda,ATG,Consommation d’énergies renouvelables (% de la consommation totale d’énergie),EG.FEC.RNEW.ZS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.11,0.11,0.11,0.36,0.45,0.45,0.7,0.69,0.74,17.060816,-61.796428
Australie,AUS,Consommation d’énergies renouvelables (% de la consommation totale d’énergie),EG.FEC.RNEW.ZS,8.01,8.25,7.52,8.62,8.26,8.22,8.87,9.08,8.6,8.51,8.42,8.37,8.74,7.15,6.68,6.71,6.85,6.95,6.79,7.15,8.16,8.32,8.3,9.22,9.33,9.32,9.36,9.65,9.6,10.06,10.89,-25.274398,133.775136
Autriche,AUT,Consommation d’énergies renouvelables (% de la consommation totale d’énergie),EG.FEC.RNEW.ZS,25.17,24.53,26.17,26.39,25.72,25.67,24.08,24.92,24.46,26.49,26.43,25.53,24.68,22.56,23.17,24.41,26.64,28.99,29.68,31.31,31.15,31.64,34.37,34.58,35.67,34.82,34.63,33.97,34.08,33.98,35.77,47.516231,14.550072
Azerbaïdjan,AZE,Consommation d’énergies renouvelables (% de la consommation totale d’énergie),EG.FEC.RNEW.ZS,0.72,0.8,1.22,1.98,1.52,1.37,1.74,1.99,2.48,2.14,2.07,1.75,2.35,2.94,3.07,3.36,2.86,3.78,3.08,3.27,4.45,3.55,2.84,2.52,2.12,2.33,1.94,1.91,1.93,1.62,1.23,40.143105,47.576927
Burundi,BDI,Consommation d’énergies renouvelables (% de la consommation totale d’énergie),EG.FEC.RNEW.ZS,94.64,93.5,94.27,93.98,93.94,93.73,93.49,93.39,93.25,93.75,93.23,94.84,94.65,95.76,96.04,96.01,95.31,95.29,95.15,95.18,92.58,91.66,91.47,91.11,91.31,91.18,89.58,88.19,85.65,84.84,83.52,-3.373056,29.918886
Belgique,BEL,Consommation d’énergies renouvelables (% de la consommation totale d’énergie),EG.FEC.RNEW.ZS,1.27,1.21,1.19,0.96,0.94,1.26,1.19,1.15,1.29,1.4,1.44,1.58,1.68,1.89,2.04,2.44,2.87,3.4,3.95,4.87,6.25,6.7,7.69,8.26,9.13,9.42,9.2,9.66,10.65,10.2,12.28,50.503887,4.469936
Bénin,BEN,Consommation d’énergies renouvelables (% de la consommation totale d’énergie),EG.FEC.RNEW.ZS,93.7,94.97,94.85,94.99,94.98,94.77,84.15,80.63,79.57,76.91,70.29,66.86,64.04,61.73,60.69,59.2,57.31,54.49,54.76,52.83,47.19,48.7,50.33,51.97,51.05,49.94,45.42,45.38,43.97,46.47,46.2,9.30769,2.315834
Burkina Faso,BFA,Consommation d’énergies renouvelables (% de la consommation totale d’énergie),EG.FEC.RNEW.ZS,89.14,89.19,89.12,89.21,89.19,88.65,87.88,86.79,86.29,86.86,85.4,85.49,85.43,85.3,85.31,87.7,85.88,84.3,84.43,84.81,82.8,81.98,78.79,77.09,76.84,74.55,74.14,71.13,69.13,67.2,67.51,12.238333,-1.561593
Bangladesh,BGD,Consommation d’énergies renouvelables (% de la consommation totale d’énergie),EG.FEC.RNEW.ZS,71.67,73.16,71.66,70.56,68.98,63.81,62.13,59.98,60.24,60.54,60.2,55.96,54.47,52.62,52.05,50.66,48.69,47.19,45.2,43.1,40.31,38.44,37.36,36.96,35.34,31.12,30.23,28.01,25.79,26.37,27.96,23.684994,90.356331
Bulgarie,BGR,Consommation d’énergies renouvelables (% de la consommation totale d’énergie),EG.FEC.RNEW.ZS,1.81,2.18,2.59,2.38,2.28,3.03,3.53,3.76,5.83,6.58,7.97,7.24,8.7,9.16,9.55,9.83,9.96,8.85,9.94,11.62,14.27,13.22,15.63,18.24,17.15,17.85,17.71,17.11,19.59,19.32,21.08,42.733883,25.48583
Bahreïn,BHR,Consommation d’énergies renouvelables (% de la consommation totale d’énergie),EG.FEC.RNEW.ZS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.930414,50.637772
Bahamas,BHS,Consommation d’énergies renouvelables (% de la consommation totale d’énergie),EG.FEC.RNEW.ZS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.38,1.54,1.59,1.71,2.01,3.54,1.97,1.53,1.3,1.44,1.41,1.43,1.4,1.45,1.33,1.15,1.2,1.18,1.41,25.03428,-77.39628
Bahamas,BHS,Consommation d’énergies renouvelables (% de la consommation totale d’énergie),EG.FEC.RNEW.ZS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.38,1.54,1.59,1.71,2.01,3.54,1.97,1.53,1.3,1.44,1.41,1.43,1.4,1.45,1.33,1.15,1.2,1.18,1.41,25.03428,-77.39628
Bosnie-Herzégovine,BIH,Consommation d’énergies renouvelables (% de la consommation totale d’énergie),EG.FEC.RNEW.ZS,7.3,8.76,11.57,14.61,33.38,33.22,32.85,27.6,26.74,28.43,19.35,20.27,21.21,20.14,20.1,19.73,18.12,14.84,14.28,17.43,19.57,14.16,15.28,19.48,23.65,25.25,23.0,18.49,35.36,36.84,37.71,43.915886,17.679076
Bélarus,BLR,Consommation d’énergies renouvelables (% de la consommation totale d’énergie),EG.FEC.RNEW.ZS,0.92,1.01,1.17,1.4,2.31,2.82,3.49,3.82,4.12,4.5,5.65,6.26,6.52,6.25,6.27,6.83,7.2,7.28,7.08,7.39,7.29,7.52,7.24,6.97,6.69,6.82,6.72,7.28,7.21,7.81,8.39,53.709807,27.953389
Belize,BLZ,Consommation d’énergies renouvelables (% de la consommation totale d’énergie),EG.FEC.RNEW.ZS,38.01,32.44,36.29,35.6,34.08,34.92,42.68,36.66,35.32,35.89,34.55,29.61,31.19,30.18,32.02,31.01,36.8,32.31,34.06,29.18,32.93,44.36,50.07,40.99,37.43,30.32,33.27,37.24,35.53,30.43,30.2,17.189877,-88.49765
Bermudes,BMU,Consommation d’énergies renouvelables (% de la consommation totale d’énergie),EG.FEC.RNEW.ZS,0.0,0.0,0.0,0.0,0.0,0.26,0.41,0.43,0.44,0.48,0.46,0.54,0.51,0.51,0.52,0.49,0.44,0.5,0.46,0.43,0.43,0.42,0.44,1.47,0.43,0.55,1.09,0.63,0.68,0.81,0.95,32.321384,-64.75737
Bolivie,BOL,Consommation d’énergies renouvelables (% de la consommation totale d’énergie),EG.FEC.RNEW.ZS,37.02,38.1,36.88,36.91,35.16,33.17,32.39,31.97,30.62,30.77,29.79,29.59,28.67,27.52,26.26,25.07,23.7,22.07,21.3,20.62,19.93,18.1,17.36,16.02,15.03,14.22,13.62,14.29,14.33,13.52,16.86,-16.290154,-63.588653
Brésil,BRA,Consommation d’énergies renouvelables (% de la consommation totale d’énergie),EG.FEC.RNEW.ZS,49.82,48.89,48.65,48.15,48.3,46.08,44.48,43.66,43.79,43.98,42.66,41.33,42.85,45.11,45.18,46.13,46.67,47.19,47.04,48.92,46.81,45.26,43.49,42.32,41.71,43.62,45.46,45.33,46.95,47.58,50.05,-14.235004,-51.92528
Barbade,BRB,Consommation d’énergies renouvelables (% de la consommation totale d’énergie),EG.FEC.RNEW.ZS,13.14,12.59,11.96,11.01,10.03,10.42,10.73,9.57,7.38,7.91,7.91,7.68,6.97,6.19,6.28,6.38,6.59,6.36,5.7,6.53,6.41,3.12,3.01,2.37,2.33,2.13,2.4,3.46,4.15,2.79,4.57,13.193887,-59.543198
Brunéi Darussalam,BRN,Consommation d’énergies renouvelables (% de la consommation totale d’énergie),EG.FEC.RNEW.ZS,0.67,0.43,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,4.535277,114.727669
Brunéi Darussalam,BRN,Consommation d’énergies renouvelables (% de la consommation totale d’énergie),EG.FEC.RNEW.ZS,0.67,0.43,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,4.535277,114.727669
Bhoutan,BTN,Consommation d’énergies renouvelables (% de la consommation totale d’énergie),EG.FEC.RNEW.ZS,95.9,95.92,95.29,95.86,95.29,94.37,93.24,91.35,91.53,91.57,91.4,91.75,91.2,91.92,93.46,91.67,91.92,92.07,91.81,92.38,90.8,89.01,87.32,86.7,86.54,86.68,85.02,83.63,82.61,82.85,88.39,27.514162,90.433601
Botswana,BWA,Consommation d’énergies renouvelables (% de la consommation totale d’énergie),EG.FEC.RNEW.ZS,49.03,49.51,46.1,47.34,49.84,48.86,46.44,45.78,39.2,41.6,38.46,37.51,36.13,36.21,34.34,33.0,31.4,29.03,27.86,28.29,29.41,28.41,27.55,26.36,25.38,25.59,26.13,26.11,25.11,25.74,27.21,-22.328474,24.684866
République centrafricaine,CAF,Consommation d’énergies renouvelables (% de la consommation totale d’énergie),EG.FEC.RNEW.ZS,93.87,94.14,94.08,93.82,93.19,93.05,91.66,91.86,89.02,88.95,88.9,88.92,89.22,90.25,90.64,90.96,90.8,90.88,93.64,93.91,93.84,93.33,93.07,95.08,94.82,92.86,92.11,91.58,91.42,91.26,90.88,6.611111,20.939444
Canada,CAN,Consommation d’énergies renouvelables (% de la consommation totale d’énergie),EG.FEC.RNEW.ZS,22.53,22.67,22.38,22.26,22.13,22.39,22.02,21.78,21.98,22.18,22.04,21.53,21.77,21.18,21.58,21.26,21.18,21.26,21.3,21.94,21.13,21.17,21.44,21.84,21.83,21.83,21.62,22.35,21.92,22.47,23.85,56.130366,-106.346771
Suisse,CHE,Consommation d’énergies renouvelables (% de la consommation totale d’énergie),EG.FEC.RNEW.ZS,16.8,17.11,17.01,17.99,18.33,17.63,16.69,17.41,17.07,18.38,18.19,18.72,18.19,18.03,18.1,18.73,18.07,19.31,19.55,19.97,20.56,20.57,21.88,21.83,22.2,23.94,24.1,24.99,24.2,24.76,26.37,46.818188,8.227512
Chili,CHL,Consommation d’énergies renouvelables (% de la consommation totale d’énergie),EG.FEC.RNEW.ZS,34.03,37.27,38.62,35.77,34.82,34.17,32.23,29.96,29.75,29.06,31.36,32.15,33.07,31.62,31.44,32.26,32.91,30.46,30.83,31.53,27.04,28.79,30.31,30.23,26.95,25.06,24.55,24.1,25.46,25.27,26.73,-35.675147,-71.542969
